jornada.partida.tirada.time.color
1.1.e4,e5.2014-08-02 10:00:00.N
1.1.Df3,Cc6.2014-08-02 10:01:00.B
1.1.Ac4,Ac5.2014-08-02 10:02:00.N
1.1.f7++.2014-08-02 10:03:00.B
1.2.e4,e5.2014-08-02 10:04:00.N
1.2.b3,h4.2014-08-02 10:05:00.B
1.2.Re2,e4++.2014-08-02 10:06:00.N
1.3.e4,e5.2014-08-02 10:04:00.N
1.3.b3,h4.2014-08-02 10:05:00.B
1.3.Re2,e4++.2014-08-02 10:06:00.N
1.4.e4,e5.2014-08-02 10:04:00.N
1.4.b3,h4.2014-08-02 10:05:00.B
1.4.Re2,e4++.2014-08-02 10:06:00.N
1.5.e4,e5.2014-08-02 10:00:00.N
1.5.Df3,Cc6.2014-08-02 10:01:00.B
1.5.Ac4,Ac5.2014-08-02 10:02:00.N
1.5.f7++.2014-08-02 10:03:00.B
1.6.e4,e5.2014-08-02 10:00:00.N
1.6.Df3,Cc6.2014-08-02 10:01:00.B
1.6.Ac4,Ac5.2014-08-02 10:02:00.N
1.6.f7++.2014-08-02 10:03:00.B
1.7.e4,e5.2014-08-02 10:04:00.N
1.7.b3,h4.2014-08-02 10:05:00.B
1.7.Re2,e4++.2014-08-02 10:06:00.N
1.8.e4,e5.2014-08-02 10:04:00.N
1.8.b3,h4.2014-08-02 10:05:00.B
1.8.Re2,e4++.2014-08-02 10:06:00.N
1.9.e4,e5.2014-08-02 10:00:00.N
1.9.Df3,Cc6.2014-08-02 10:01:00.B
1.9.Ac4,Ac5.2014-08-02 10:02:00.N
1.9.f7++.2014-08-02 10:03:00.B
1.10.e4,e5.2014-08-02 10:04:00.N
1.10.b3,h4.2014-08-02 10:05:00.B
1.10.Re2,e4++.2014-08-02 10:06:00.N
1.11.e4,e5.2014-08-02 10:04:00.B
1.11.b3,h4.2014-08-02 10:05:00.N
1.11.Re2,e4++.2014-08-02 10:06:00.B
1.12.e4,e5.2014-08-02 10:04:00.N
1.12.b3,h4.2014-08-02 10:05:00.B
1.12.Re2,e4++.2014-08-02 10:06:00.N
1.13.e4,e5.2014-08-02 10:00:00.B
1.13.Df3,Cc6.2014-08-02 10:01:00.N
1.13.Ac4,Ac5.2014-08-02 10:02:00.B
1.13.f7++.2014-08-02 10:03:00.N
1.14.e4,e5.2014-08-02 10:00:00.B
1.14.Df3,Cc6.2014-08-02 10:01:00.N
1.14.Ac4,Ac5.2014-08-02 10:02:00.B
1.14.f7++.2014-08-02 10:03:00.N
1.15.e4,e5.2014-08-02 10:04:00.B
1.15.b3,h4.2014-08-02 10:05:00.N
1.15.Re2,e4++.2014-08-02 10:06:00.B
1.16.e4,e5.2014-08-02 10:04:00.N
1.16.b3,h4.2014-08-02 10:05:00.B
1.16.Re2,e4++.2014-08-02 10:06:00.N
2.1.e4,e5.2014-08-07 10:00:00.B
2.1.Df3,Cc6.2014-08-07 10:01:00.N
2.1.Ac4,Ac5.2014-08-07 10:02:00.B
2.1.f7++.2014-08-07 10:03:00.N
2.2.e4,e5.2014-08-07 10:04:00.B
2.2.b3,h4.2014-08-07 10:05:00.N
2.2.Re2,e4++.2014-08-07 10:06:00.B
2.3.e4,e5.2014-08-07 10:04:00.B
2.3.b3,h4.2014-08-07 10:05:00.N
2.3.Re2,e4++.2014-08-07 10:06:00.B
2.4.e4,e5.2014-08-07 10:04:00.N
2.4.b3,h4.2014-08-07 10:05:00.B
2.4.Re2,e4++.2014-08-07 10:06:00.N
2.5.e4,e5.2014-08-07 10:00:00.N
2.5.Df3,Cc6.2014-08-07 10:01:00.B
2.5.Ac4,Ac5.2014-08-07 10:02:00.N
2.5.f7++.2014-08-07 10:03:00.B
2.6.e4,e5.2014-08-07 10:00:00.N
2.6.Df3,Cc6.2014-08-07 10:01:00.B
2.6.Ac4,Ac5.2014-08-07 10:02:00.N
2.6.f7++.2014-08-07 10:03:00.B
2.7.e4,e5.2014-08-07 10:04:00.N
2.7.b3,h4.2014-08-07 10:05:00.B
2.7.Re2,e4++.2014-08-07 10:06:00.N
2.8.e4,e5.2014-08-07 10:04:00.N
2.8.b3,h4.2014-08-07 10:05:00.B
2.8.Re2,e4++.2014-08-07 10:06:00.N
3.1.e4,e5.2014-08-10 10:00:00.N
3.1.Df3,Cc6.2014-08-10 10:01:00.B
3.1.Ac4,Ac5.2014-08-10 10:02:00.N
3.1.f7++.2014-08-10 10:03:00.B
3.2.e4,e5.2014-08-11 10:04:00.N
3.2.b3,h4.2014-08-11 10:05:00.B
3.2.Re2,e4++.2014-08-11 10:06:00.N
3.3.e4,e5.2014-08-11 10:04:00.N
3.3.b3,h4.2014-08-11 10:05:00.B
3.3.Re2,e4++.2014-08-11 10:06:00.N
3.4.e4,e5.2014-08-11 10:04:00.N
3.4.b3,h4.2014-08-11 10:05:00.B
3.4.Re2,e4++.2014-08-11 10:06:00.N
